Algorithm,Communities,Modularity,NMI,ARI,Runtime (s)
GCN (Graph Convolutional Network),12,-0.0107,0.9193,0.8604,3.78
GAT (Graph Attention Network),12,-0.0142,0.9202,0.894,4.48
VGAE (Variational Graph AE),12,-0.008,0.9047,0.8744,2.63
Autoencoder (Stacked AE),12,-0.008,0.908,0.8668,4.18
