Algorithm,Communities,Modularity,NMI,ARI,Runtime (s)
Louvain,4,0.3857,0.8749,0.8986,0.0112
Leiden,4,0.3857,0.8749,0.8986,0.0011
Walktrap,4,0.3794,0.8662,0.8722,0.0016
Infomap,4,0.3857,0.8749,0.8986,0.0115
Label Propagation (LPA),4,0.3718,0.8345,0.8427,0.0028
Fast LPA (FLPA),4,0.3742,0.8665,0.8611,0.0503
LPA-MNI,4,0.3741,0.8662,0.8605,0.0363
Constrained LPA (CLPA),4,0.3857,0.8749,0.8986,0.0125
FluidC,9,0.27,0.696,0.4569,0.0241
Girvan-Newman,3,-0.0001,0.0435,0.005,0.4924
Kernighan-Lin,8,0.2594,0.6862,0.4513,0.0157
Spinglass,4,0.3855,0.8784,0.8986,0.6465
Markov Clustering (MCL),2,0.1311,0.4425,0.202,0.0422
