n_factors,regularization,alpha,n_iterations,elapsed_s,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10
20,0.01,40,20,30.8,0.25705,0.1027,0.14676,0.23289,0.15586,0.18674
20,0.01,40,10,21.2,0.24899,0.09891,0.14158,0.22752,0.15402,0.18369
10,0.5,10,10,19.7,0.32416,0.08844,0.13897,0.28087,0.14092,0.18768
10,1.0,10,10,20.6,0.3255,0.08813,0.13871,0.28154,0.14136,0.18822
10,1.0,10,20,28.5,0.32617,0.0878,0.13835,0.27282,0.12912,0.17529
10,0.1,10,20,27.7,0.3255,0.08782,0.13832,0.27215,0.12871,0.17476
10,0.01,10,20,28.5,0.32483,0.08783,0.13827,0.27148,0.12795,0.17393
10,0.5,10,20,28.4,0.32416,0.08737,0.13765,0.27349,0.12899,0.1753
10,0.01,10,10,21.2,0.31611,0.08797,0.13763,0.27584,0.13677,0.18287
10,0.1,10,10,19.8,0.31879,0.08737,0.13716,0.27718,0.13743,0.18375
20,1.0,80,10,21.8,0.18456,0.08778,0.11898,0.17248,0.14141,0.15541
20,0.5,80,10,21.5,0.18658,0.08521,0.11699,0.17081,0.13936,0.15349
20,0.5,80,20,30.9,0.17785,0.08627,0.11618,0.16443,0.1332,0.14717
20,0.1,80,20,31.0,0.17584,0.08416,0.11384,0.16074,0.12984,0.14365
20,1.0,80,20,31.3,0.17315,0.08378,0.11293,0.16275,0.1308,0.14504
20,0.1,80,10,21.3,0.17785,0.08156,0.11183,0.16275,0.13099,0.14515
20,0.01,80,20,30.7,0.17114,0.08022,0.10923,0.15537,0.1267,0.13958
20,0.01,80,10,21.4,0.16443,0.07744,0.10529,0.15738,0.12436,0.13894
10,0.5,40,10,20.2,0.21678,0.06485,0.09984,0.20369,0.1099,0.14277
10,1.0,40,10,20.1,0.21678,0.0646,0.09954,0.20134,0.11096,0.14307
10,0.01,40,10,20.3,0.22148,0.06394,0.09924,0.19933,0.10745,0.13963
10,0.5,40,20,28.6,0.21544,0.06345,0.09803,0.19195,0.10319,0.13422
10,0.01,40,20,30.1,0.21141,0.06344,0.0976,0.19463,0.10235,0.13416
10,0.1,40,20,27.9,0.21141,0.0633,0.09743,0.19396,0.10279,0.13437
10,0.1,40,10,19.8,0.21611,0.06131,0.09552,0.20302,0.11028,0.14292
10,1.0,40,20,28.6,0.21208,0.06111,0.09488,0.19497,0.1057,0.13708
10,1.0,80,10,20.0,0.15638,0.0503,0.07611,0.15503,0.09062,0.11438
10,1.0,80,20,28.4,0.15369,0.05004,0.07549,0.15369,0.09338,0.11617
10,0.5,80,10,20.0,0.15772,0.04809,0.0737,0.15738,0.09121,0.11549
10,0.5,80,20,28.4,0.14765,0.04903,0.07361,0.14832,0.09115,0.11291
10,0.01,80,10,22.0,0.15034,0.04637,0.07087,0.14732,0.08329,0.10642
10,0.1,80,10,19.9,0.14966,0.04626,0.07067,0.14832,0.08579,0.10871
10,0.1,80,20,28.0,0.1443,0.04669,0.07055,0.14597,0.08706,0.10907
10,0.01,80,20,30.1,0.14362,0.04582,0.06947,0.14497,0.08535,0.10744
